transactions_id,sale_date,sale_time,customer_id,gender,category,quantiy,price_per_unit,total_sale
736,18-12-2022,8:30:00,97,Male,Clothing,4,25,100
929,11-03-2022,10:18:00,40,Female,Beauty,3,25,75
1415,06-03-2022,7:11:00,146,Male,Clothing,2,30,60
1736,28-08-2022,8:57:00,87,Male,Clothing,4,25,100
1929,15-09-2022,6:50:00,62,Female,Beauty,3,25,75
264,26-12-2022,11:03:00,111,Male,Clothing,3,300,900
913,12-10-2022,10:52:00,78,Male,Electronics,3,30,90
940,05-01-2022,8:11:00,46,Female,Electronics,1,30,30
1264,27-05-2022,9:23:00,82,Male,Clothing,3,300,900
1913,23-06-2022,7:10:00,101,Male,Electronics,3,30,90
1940,15-06-2022,9:47:00,56,Female,Electronics,1,30,30
101,08-01-2022,8:46:00,24,Male,Clothing,2,300,600
1101,17-05-2022,7:47:00,15,Male,Clothing,2,300,600
189,02-01-2022,9:44:00,143,Male,Beauty,1,50,50
317,04-05-2022,7:54:00,117,Male,Electronics,3,30,90
322,19-10-2022,6:11:00,13,Male,Electronics,1,500,500
329,27-10-2022,7:42:00,52,Female,Electronics,4,25,100
1189,07-12-2022,6:08:00,104,Male,Beauty,1,50,50
1317,25-08-2022,8:02:00,144,Male,Electronics,3,30,90
1322,14-11-2022,9:56:00,10,Male,Electronics,1,500,500
1329,27-01-2022,10:39:00,119,Female,Electronics,4,25,100
235,10-03-2022,10:13:00,132,Female,Electronics,2,500,1000
300,08-01-2022,9:41:00,138,Female,Electronics,4,50,200
964,26-08-2022,8:18:00,15,Male,Clothing,3,300,900
1235,04-04-2022,6:44:00,87,Female,Electronics,2,500,1000
1300,08-08-2022,8:57:00,7,Female,Electronics,4,50,200
1964,02-08-2022,8:27:00,115,Male,Clothing,3,300,900
269,19-09-2022,11:31:00,87,Male,Clothing,4,500,2000
320,20-04-2022,8:35:00,57,Female,Electronics,4,300,1200
673,04-07-2022,10:14:00,18,Female,Clothing,3,500,1500
1269,01-01-2022,8:09:00,71,Male,Clothing,4,500,2000
1320,02-11-2022,11:55:00,102,Female,Electronics,4,300,1200
1673,14-06-2022,7:36:00,42,Female,Clothing,3,500,1500
142,08-04-2022,10:05:00,61,Male,Electronics,4,300,1200
223,15-01-2022,11:18:00,61,Female,Clothing,1,25,25
666,03-03-2022,10:59:00,49,Male,Electronics,3,50,150
1142,09-11-2022,9:49:00,2,Male,Electronics,4,300,1200
1223,20-02-2022,7:40:00,106,Female,Clothing,1,25,25
1666,08-12-2022,10:10:00,125,Male,Electronics,3,50,150
107,06-10-2022,9:18:00,75,Female,Clothing,4,300,1200
933,19-09-2022,7:53:00,81,Male,Beauty,1,30,30
1107,31-12-2022,11:14:00,62,Female,Clothing,4,300,1200
1933,12-01-2022,11:04:00,121,Male,Beauty,1,30,30
237,11-04-2022,8:54:00,105,Female,Beauty,2,500,1000
335,02-02-2022,9:23:00,2,Female,Beauty,4,30,120
1237,23-02-2022,9:20:00,48,Female,Beauty,2,500,1000
1335,27-05-2022,8:45:00,117,Female,Beauty,4,30,120
63,03-02-2022,11:49:00,127,Male,Electronics,2,25,50
195,14-08-2022,11:51:00,10,Male,Clothing,1,30,30
333,06-10-2022,8:15:00,21,Female,Electronics,4,300,1200
379,01-06-2022,7:28:00,76,Female,Clothing,1,25,25
490,27-01-2022,6:07:00,43,Male,Clothing,3,50,150
530,01-05-2022,7:52:00,8,Female,Electronics,4,30,120
740,01-12-2022,6:58:00,33,Female,Beauty,4,50,200
793,27-05-2022,10:53:00,1,Male,Beauty,1,30,30
1063,04-08-2022,10:26:00,56,Male,Electronics,2,25,50
1195,21-09-2022,7:07:00,55,Male,Clothing,1,30,30
1333,01-11-2022,11:38:00,151,Female,Electronics,4,300,1200
1379,02-01-2022,6:23:00,69,Female,Clothing,1,25,25
1490,26-10-2022,7:15:00,155,Male,Clothing,3,50,150
1530,10-12-2022,8:17:00,93,Female,Electronics,4,30,120
1740,16-07-2022,6:01:00,66,Female,Beauty,4,50,200
1793,11-12-2022,6:05:00,88,Male,Beauty,1,30,30
85,03-09-2022,8:05:00,68,Male,Clothing,3,50,150
232,12-08-2022,7:14:00,150,Female,Beauty,1,25,25
240,05-11-2022,11:49:00,95,Female,Beauty,1,300,300
993,07-09-2022,9:21:00,134,Female,Electronics,3,50,150
1085,12-08-2022,9:29:00,76,Male,Clothing,3,50,150
1232,23-05-2022,8:05:00,146,Female,Beauty,1,25,25
1240,07-08-2022,7:42:00,144,Female,Beauty,1,300,300
1993,29-12-2022,11:53:00,123,Female,Electronics,3,50,150
366,29-10-2022,9:32:00,116,Male,Clothing,2,50,100
372,19-06-2022,11:45:00,27,Female,Beauty,3,500,1500
596,12-02-2022,8:44:00,87,Female,Electronics,1,300,300
936,05-01-2022,10:51:00,143,Male,Beauty,4,50,200
1366,01-01-2022,11:34:00,25,Male,Clothing,2,50,100
1372,18-03-2022,10:53:00,60,Female,Beauty,3,500,1500
1596,28-03-2022,6:22:00,7,Female,Electronics,1,300,300
1936,19-06-2022,11:32:00,60,Male,Beauty,4,50,200
284,12-11-2022,9:17:00,129,Male,Clothing,4,50,200
434,26-10-2022,6:09:00,50,Female,Electronics,2,25,50
775,06-05-2022,11:07:00,98,Female,Electronics,4,25,100
977,26-07-2022,8:35:00,46,Female,Electronics,3,25,75
1284,16-12-2022,11:43:00,145,Male,Clothing,4,50,200
1434,04-02-2022,10:02:00,147,Female,Electronics,2,25,50
1775,18-12-2022,8:04:00,78,Female,Electronics,4,25,100
1977,05-08-2022,10:46:00,63,Female,Electronics,3,25,75
649,21-06-2022,8:17:00,44,Female,Clothing,2,300,600
1649,21-10-2022,7:44:00,72,Female,Clothing,2,300,600
54,20-10-2022,10:17:00,142,Female,Electronics,3,500,1500
68,15-12-2022,9:06:00,146,Male,Electronics,1,300,300
192,08-11-2022,8:05:00,134,Male,Beauty,2,50,100
1054,10-01-2022,9:24:00,49,Female,Electronics,3,500,1500
1068,14-09-2022,10:11:00,136,Male,Electronics,1,300,300
1192,29-03-2022,8:41:00,37,Male,Beauty,2,50,100
331,16-08-2022,8:33:00,28,Male,Electronics,3,30,90
346,05-09-2022,6:54:00,38,Male,Clothing,2,500,1000
657,29-01-2022,8:53:00,46,Male,Clothing,1,25,25
732,13-10-2022,8:45:00,136,Male,Electronics,2,500,1000
972,16-08-2022,11:42:00,139,Male,Beauty,4,25,100
1331,15-05-2022,9:29:00,36,Male,Electronics,3,30,90
1346,10-04-2022,10:01:00,112,Male,Clothing,2,500,1000
1657,09-08-2022,10:05:00,61,Male,Clothing,1,25,25
1732,25-02-2022,7:05:00,55,Male,Electronics,2,500,1000
1972,21-12-2022,6:39:00,5,Male,Beauty,4,25,100
714,29-10-2022,8:50:00,20,Female,Clothing,1,500,500
1714,23-11-2022,6:07:00,111,Female,Clothing,1,500,500
193,27-03-2022,10:40:00,55,Male,Beauty,3,500,1500
577,21-04-2022,11:55:00,45,Male,Beauty,4,500,2000
848,24-01-2022,10:46:00,15,Female,Clothing,3,25,75
945,01-10-2022,10:01:00,120,Male,Beauty,1,25,25
1193,11-05-2022,11:31:00,50,Male,Beauty,3,500,1500
1577,11-09-2022,6:22:00,145,Male,Beauty,4,500,2000
1848,27-12-2022,10:16:00,63,Female,Clothing,3,25,75
1945,19-04-2022,9:55:00,33,Male,Beauty,1,25,25
11,27-02-2022,10:30:00,151,Male,Clothing,2,50,100
821,23-11-2022,11:27:00,40,Male,Electronics,1,300,300
1011,01-04-2022,6:48:00,15,Male,Clothing,2,50,100
1821,03-10-2022,7:17:00,42,Male,Electronics,1,300,300
133,23-06-2022,9:01:00,70,Male,Electronics,3,300,900
1133,05-03-2022,6:42:00,58,Male,Electronics,3,300,900
16,25-06-2022,10:33:00,82,Male,Clothing,3,500,1500
42,08-12-2022,8:29:00,63,Male,Clothing,3,300,900
292,10-10-2022,6:33:00,111,Male,Beauty,4,300,1200
416,21-08-2022,9:29:00,55,Male,Electronics,4,500,2000
584,31-12-2022,10:21:00,106,Female,Beauty,4,50,200
861,30-09-2022,8:57:00,22,Female,Clothing,3,30,90
1016,12-12-2022,7:39:00,52,Male,Clothing,3,500,1500
1042,11-02-2022,6:21:00,7,Male,Clothing,3,300,900
1292,15-05-2022,8:20:00,88,Male,Beauty,4,300,1200
1416,29-12-2022,10:47:00,111,Male,Electronics,4,500,2000
1584,03-09-2022,11:07:00,62,Female,Beauty,4,50,200
1861,04-07-2022,10:41:00,145,Female,Clothing,3,30,90
256,09-01-2022,8:05:00,3,Male,Clothing,2,500,1000
1256,05-11-2022,9:58:00,29,Male,Clothing,2,500,1000
44,03-03-2022,11:07:00,93,Female,Clothing,1,25,25
257,10-12-2022,8:49:00,130,Male,Beauty,4,500,2000
1044,20-02-2022,9:08:00,70,Female,Clothing,1,25,25
1257,10-05-2022,11:55:00,29,Male,Beauty,4,500,2000
268,14-04-2022,8:26:00,93,Female,Electronics,1,30,30
287,26-08-2022,11:07:00,88,Male,Clothing,4,25,100
966,07-11-2022,7:22:00,119,Male,Electronics,2,500,1000
1268,09-06-2022,9:33:00,15,Female,Electronics,1,30,30
1287,13-09-2022,8:03:00,120,Male,Clothing,4,25,100
1966,20-07-2022,9:52:00,74,Male,Electronics,2,500,1000
70,27-12-2022,10:48:00,147,Female,Clothing,1,300,300
371,18-12-2022,10:01:00,32,Female,Beauty,1,25,25
900,10-11-2022,8:41:00,130,Male,Clothing,2,30,60
1070,14-07-2022,11:12:00,102,Female,Clothing,1,300,300
1371,06-05-2022,6:52:00,41,Female,Beauty,1,25,25
1900,21-01-2022,6:43:00,65,Male,Clothing,2,30,60
8,27-12-2022,11:19:00,148,Male,Electronics,4,25,100
41,11-10-2022,10:36:00,88,Male,Clothing,2,25,50
454,12-03-2022,7:20:00,13,Female,Beauty,1,25,25
780,06-07-2022,11:30:00,107,Male,Electronics,2,25,50
920,20-08-2022,10:25:00,99,Female,Beauty,3,25,75
1008,10-01-2022,8:51:00,116,Male,Electronics,4,25,100
1041,10-05-2022,7:27:00,74,Male,Clothing,2,25,50
1454,25-06-2022,11:18:00,22,Female,Beauty,1,25,25
1780,11-12-2022,10:00:00,32,Male,Electronics,2,25,50
1920,24-10-2022,8:33:00,23,Female,Beauty,3,25,75
396,15-12-2022,7:11:00,29,Female,Beauty,1,30,30
1396,07-06-2022,6:23:00,9,Female,Beauty,1,30,30
168,29-04-2022,9:20:00,138,Male,Clothing,1,300,300
400,08-03-2022,9:52:00,2,Male,Clothing,4,50,200
611,21-07-2022,8:13:00,11,Male,Beauty,3,500,1500
800,19-09-2022,7:33:00,111,Male,Clothing,4,300,1200
1168,10-07-2022,7:56:00,68,Male,Clothing,1,300,300
1400,12-09-2022,11:54:00,115,Male,Clothing,4,50,200
1611,17-11-2022,7:30:00,125,Male,Beauty,3,500,1500
1800,21-08-2022,10:53:00,1,Male,Clothing,4,300,1200
272,10-06-2022,11:57:00,112,Female,Electronics,2,50,100
473,25-09-2022,10:09:00,1,Male,Beauty,1,50,50
506,29-04-2022,7:13:00,9,Male,Beauty,3,500,1500
766,04-01-2022,8:02:00,128,Male,Electronics,3,300,900
1272,14-04-2022,11:59:00,66,Female,Electronics,2,50,100
1473,19-03-2022,9:06:00,30,Male,Beauty,1,50,50
1506,09-01-2022,7:31:00,52,Male,Beauty,3,500,1500
1766,22-11-2022,6:08:00,6,Male,Electronics,3,300,900
135,18-04-2022,7:22:00,104,Male,Clothing,2,25,50
1135,14-01-2022,8:16:00,124,Male,Clothing,2,25,50
2,24-06-2022,10:07:00,104,Female,Clothing,2,500,1000
158,21-01-2022,11:38:00,141,Female,Electronics,2,300,600
185,27-06-2022,9:48:00,57,Male,Clothing,1,25,25
433,29-07-2022,8:48:00,144,Male,Beauty,4,50,200
1002,02-03-2022,9:24:00,69,Female,Clothing,2,500,1000
1158,24-02-2022,9:29:00,77,Female,Electronics,2,300,600
1185,04-10-2022,10:28:00,153,Male,Clothing,1,25,25
1433,16-01-2022,11:41:00,113,Male,Beauty,4,50,200
152,16-06-2022,11:58:00,120,Male,Electronics,4,500,2000
753,06-07-2022,10:07:00,70,Female,Clothing,1,30,30
763,23-04-2022,9:43:00,58,Male,Clothing,2,25,50
932,08-10-2022,8:33:00,120,Female,Beauty,4,25,100
1152,26-12-2022,7:48:00,87,Male,Electronics,4,500,2000
1753,17-07-2022,7:40:00,28,Female,Clothing,1,30,30
1763,30-06-2022,11:37:00,93,Male,Clothing,2,25,50
1932,08-11-2022,7:07:00,96,Female,Beauty,4,25,100
399,07-12-2022,9:25:00,136,Female,Beauty,2,30,60
500,14-10-2022,6:11:00,120,Female,Beauty,4,25,100
514,04-11-2022,8:35:00,139,Female,Electronics,1,300,300
1399,28-01-2022,9:32:00,15,Female,Beauty,2,30,60
1500,20-04-2022,8:36:00,53,Female,Beauty,4,25,100
1514,12-07-2022,10:55:00,59,Female,Electronics,1,300,300
947,31-07-2022,7:09:00,4,Male,Beauty,1,300,300
1947,05-03-2022,6:27:00,134,Male,Beauty,1,300,300
220,07-05-2022,6:44:00,138,Male,Beauty,1,500,500
339,18-08-2022,10:27:00,33,Female,Electronics,2,25,50
785,19-10-2022,6:09:00,88,Female,Beauty,4,50,200
885,17-09-2022,10:10:00,121,Female,Clothing,4,30,120
888,01-12-2022,6:03:00,63,Female,Electronics,4,25,100
1220,29-06-2022,11:16:00,47,Male,Beauty,1,500,500
1339,10-11-2022,10:34:00,132,Female,Electronics,2,25,50
1785,20-02-2022,11:17:00,144,Female,Beauty,4,50,200
1885,09-11-2022,7:32:00,148,Female,Clothing,4,30,120
1888,14-06-2022,8:10:00,49,Female,Electronics,4,25,100
621,13-04-2022,9:55:00,138,Female,Beauty,2,500,1000
1621,22-09-2022,10:49:00,2,Female,Beauty,2,500,1000
52,19-09-2022,9:42:00,55,Female,Beauty,1,300,300
536,20-08-2022,6:25:00,17,Female,Beauty,4,30,120
1052,12-02-2022,6:12:00,94,Female,Beauty,1,300,300
1536,11-05-2022,7:23:00,14,Female,Beauty,4,30,120
197,03-04-2022,11:57:00,14,Female,Clothing,4,50,200
750,13-11-2022,7:33:00,69,Female,Clothing,3,25,75
910,21-08-2022,6:29:00,138,Female,Beauty,3,50,150
917,15-02-2022,11:50:00,120,Female,Electronics,4,50,200
1197,13-08-2022,10:07:00,77,Female,Clothing,4,50,200
1750,20-01-2022,10:10:00,138,Female,Clothing,3,25,75
1910,09-10-2022,6:22:00,141,Female,Beauty,3,50,150
1917,02-05-2022,7:17:00,52,Female,Electronics,4,50,200
198,21-05-2022,11:42:00,30,Female,Beauty,3,300,900
444,06-10-2022,7:06:00,51,Female,Clothing,3,30,90
547,14-11-2022,7:36:00,3,Male,Clothing,4,500,2000
705,30-09-2022,7:28:00,37,Male,Electronics,2,25,50
1198,07-08-2022,10:43:00,147,Female,Beauty,3,300,900
1444,29-04-2022,6:18:00,135,Female,Clothing,3,30,90
1547,11-08-2022,6:39:00,142,Male,Clothing,4,500,2000
1705,14-08-2022,8:32:00,94,Male,Electronics,2,25,50
423,18-07-2022,6:06:00,41,Female,Clothing,1,25,25
1423,15-06-2022,7:56:00,131,Female,Clothing,1,25,25
248,02-07-2022,7:11:00,5,Male,Clothing,3,300,900
360,09-09-2022,9:04:00,26,Male,Clothing,4,25,100
377,13-09-2022,8:30:00,141,Female,Clothing,4,50,200
1248,08-09-2022,8:20:00,68,Male,Clothing,3,300,900
1360,18-06-2022,9:31:00,93,Male,Clothing,4,25,100
1377,21-03-2022,7:52:00,71,Female,Clothing,4,50,200
397,26-10-2023,8:06:00,59,Female,Beauty,1,25,25
623,15-11-2023,10:00:00,39,Male,Clothing,3,50,150
1397,01-01-2023,11:05:00,6,Female,Beauty,1,25,25
1623,05-03-2023,6:14:00,76,Male,Clothing,3,50,150
717,30-11-2023,8:15:00,8,Male,Clothing,1,500,500
1717,12-01-2023,9:40:00,21,Male,Clothing,1,500,500
130,19-06-2023,6:21:00,114,Female,Clothing,1,500,500
658,30-10-2023,7:47:00,93,Male,Clothing,1,25,25
1130,20-02-2023,9:03:00,28,Female,Clothing,1,500,500
1658,10-04-2023,6:08:00,148,Male,Clothing,1,25,25
7,06-07-2023,6:24:00,38,Male,Clothing,2,25,50
119,01-09-2023,9:11:00,127,Female,Clothing,3,50,150
278,22-12-2023,11:42:00,71,Female,Clothing,4,25,100
1007,09-06-2023,10:09:00,15,Male,Clothing,2,25,50
1119,19-11-2023,9:36:00,1,Female,Clothing,3,50,150
1278,19-07-2023,6:19:00,28,Female,Clothing,4,25,100
117,04-08-2023,11:38:00,8,Male,Electronics,2,500,1000
1117,11-09-2023,7:48:00,144,Male,Electronics,2,500,1000
442,30-06-2023,11:07:00,24,Female,Clothing,4,25,100
590,04-05-2023,11:52:00,151,Male,Clothing,3,300,900
607,05-05-2023,9:33:00,109,Male,Clothing,3,25,75
1442,16-02-2023,11:02:00,96,Female,Clothing,4,25,100
1590,10-08-2023,9:39:00,142,Male,Clothing,3,300,900
1607,16-01-2023,10:18:00,53,Male,Clothing,3,25,75
436,22-10-2023,11:54:00,21,Female,Clothing,4,30,120
942,01-12-2023,9:22:00,35,Male,Clothing,3,500,1500
1436,20-01-2023,11:29:00,1,Female,Clothing,4,30,120
1942,16-09-2023,11:53:00,112,Male,Clothing,3,500,1500
659,09-06-2023,6:08:00,75,Female,Electronics,1,30,30
941,28-04-2023,9:58:00,39,Female,Clothing,2,25,50
1659,27-07-2023,9:29:00,22,Female,Electronics,1,30,30
1941,06-01-2023,6:14:00,48,Female,Clothing,2,25,50
136,26-12-2023,8:59:00,25,Male,Electronics,2,300,600
175,25-01-2023,10:02:00,23,Female,Electronics,4,25,100
663,16-08-2023,6:32:00,133,Male,Clothing,4,300,1200
748,01-03-2023,9:35:00,132,Male,Clothing,3,50,150
806,22-01-2023,8:08:00,14,Female,Beauty,3,300,900
1136,02-07-2023,8:41:00,93,Male,Electronics,2,300,600
1175,02-06-2023,6:38:00,103,Female,Electronics,4,25,100
1663,07-12-2023,7:04:00,33,Male,Clothing,4,300,1200
1748,02-03-2023,10:24:00,119,Male,Clothing,3,50,150
1806,14-06-2023,10:13:00,61,Female,Beauty,3,300,900
38,25-02-2023,11:39:00,147,Male,Beauty,4,50,200
313,16-12-2023,10:03:00,11,Female,Beauty,3,500,1500
402,12-07-2023,8:45:00,63,Female,Clothing,2,300,600
459,23-05-2023,7:12:00,122,Male,Clothing,4,300,1200
1038,30-12-2023,9:09:00,11,Male,Beauty,4,50,200
1313,04-06-2023,9:22:00,10,Female,Beauty,3,500,1500
1402,24-06-2023,6:47:00,110,Female,Clothing,2,300,600
1459,10-11-2023,6:46:00,13,Male,Clothing,4,300,1200
161,01-07-2023,6:58:00,104,Male,Beauty,2,500,1000
328,29-10-2023,6:56:00,9,Male,Beauty,2,50,100
383,24-03-2023,8:53:00,64,Female,Beauty,3,30,90
973,03-09-2023,8:44:00,51,Male,Clothing,1,50,50
978,27-07-2023,9:58:00,16,Female,Clothing,3,50,150
1161,29-06-2023,11:06:00,30,Male,Beauty,2,500,1000
1328,10-12-2023,7:49:00,60,Male,Beauty,2,50,100
1383,06-09-2023,9:13:00,68,Female,Beauty,3,30,90
1973,19-08-2023,10:10:00,22,Male,Clothing,1,50,50
1978,31-08-2023,11:59:00,41,Female,Clothing,3,50,150
33,24-12-2023,7:40:00,33,Female,Electronics,2,50,100
138,27-04-2023,10:56:00,127,Male,Clothing,4,50,200
471,08-03-2023,10:21:00,136,Male,Clothing,3,50,150
636,09-05-2023,6:15:00,60,Female,Beauty,3,500,1500
1033,12-04-2023,6:52:00,32,Female,Electronics,2,50,100
1138,16-10-2023,11:59:00,27,Male,Clothing,4,50,200
1471,25-06-2023,10:34:00,30,Male,Clothing,3,50,150
1636,22-07-2023,11:26:00,50,Female,Beauty,3,500,1500
